Rastst%C3%A4tte+Glarnerland+AG,48.4096926,5.9458425,https://goo.gl/maps/nQXgsHKjtdCAoXpi9
Rastst%C3%A4tte+Kemptthal,48.0169575,5.9446431,https://goo.gl/maps/X2VZjxcTQoE8DWoh7
Rastst%C3%A4tte+Grauholz,47.9732831,5.9445093,https://goo.gl/maps/6fYmw1AA27Pbm9rF7
Rest+Station+Rheintal+West+Restaurant,47.9296017,5.9443753,https://goo.gl/maps/GTGBkh1rWS4Df6DR8
Rastst%C3%A4tte+Rheintal+Ost,47.8422181,5.9441071,https://goo.gl/maps/CekcyE8JuaxZYSpH8
Rastst%C3%A4tte+Thurau+S%C3%BCd,47.7548075,5.9438385,https://goo.gl/maps/23uEcw4ciLjfhTSq5
Rastst%C3%A4tte+Pratteln-Nord,47.7110923,5.943704,https://goo.gl/maps/iQdYrqamLzDsxUua9
Rastst%C3%A4tte+Neuenkirch,47.7110923,5.943704,https://goo.gl/maps/pdBRjehB9mJcuPWR6
Rastst%C3%A4tte+K%C3%B6lliken-S%C3%BCd,47.6673707,5.9435693,https://goo.gl/maps/iDLZPCkoi48XQLJQ6
Rastst%C3%A4tte+Gunzgen+S%C3%BCd,47.6673707,5.9435693,https://goo.gl/maps/h3mwvocM9BjqLauT7
Rastst%C3%A4tte+Grauholz+S%C3%BCd,47.6673707,5.9435693,https://goo.gl/maps/QS5EKigfoheB1jSV9
Rastst%C3%A4tte+Pieterlen,47.6673707,5.9435693,https://goo.gl/maps/W7s8nNMcRticVZyj6
Restoroute+de+Bavois+S.A.,46.60084,6.5236456,https://goo.gl/maps/CuZoFe8n324J8FYs9
Aire+de+repos+La+C%C3%B4te,46.5351238,6.5234416,https://goo.gl/maps/8LQS4j8j2iBdWRsw5
